Failed to get ticker 'CVRD' reason: Failed to perform, curl: (28) Operation timed out after 10003 milliseconds with 0 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
Total ETFs: 1000
AGG: 500 rows OK
BND: 500 rows OK
CAFG: 500 rows OK
CAFX: 405 rows OK
CAIE: 211 rows OK
CAIQ: 107 rows OK
CALF: 500 rows OK
CALI: 500 rows OK
CAM: 140 rows OK
CAML: 500 rows OK
CAMX: 500 rows OK
CANC: 500 rows OK
CANE: 500 rows OK
CANQ: 500 rows OK
CAOS: 500 rows OK
CAPE: 500 rows OK
CARD: 450 rows OK
CARK: 500 rows OK
CARU: 449 rows OK
CARY: 500 rows OK
Batch 1: inserted 8762 rows
CARZ: 499 rows OK
CAS: 322 rows OK
CATF: 445 rows OK
CATH: 500 rows OK
CBLS: 500 rows OK
CBOA: 265 rows OK
CBOJ: 317 rows OK
CBOL: 134 rows OK
CBON: 500 rows OK
CBOO: 139 rows OK
CBOX: 7 rows OK
CBOY: 203 rows OK
CBSE: 500 rows OK
CBTA: 265 rows OK
CBTJ: 308 rows OK
CBTL: 134 rows OK
CBTO: 139 rows OK
CBTY: 203 rows OK
CBXA: 265 rows OK
CBXJ: 308 rows OK
Batch 2: inserted 5953 rows
CBXL: 134 rows OK
CBXO: 139 rows OK
CBXY: 203 rows OK
CCEF: 500 rows OK
CCFE: 218 rows OK
CCNR: 450 rows OK
CCOM: 62 rows OK
CCOR: 500 rows OK
CCSB: 500 rows OK
CCSO: 500 rows OK
CCUP: 179 rows OK
CDC: 500 rows OK
CDEI: 500 rows OK
CDIG: 153 rows OK
CDL: 500 rows OK
CDX: 500 rows OK
CEFA: 500 rows OK
CEFD: 500 rows OK
CEFS: 500 rows OK
CEFZ: 184 rows OK
Batch 3: inserted 7222 rows
CEGX: 200 rows OK
CEMB: 500 rows OK
CEPI: 348 rows OK
CERY: 411 rows OK
CEW: 500 rows OK
CFA: 500 rows OK
CFIT: 271 rows OK
CFO: 500 rows OK
CGBL: 500 rows OK
CGCB: 500 rows OK
CGCP: 500 rows OK
CGCV: 459 rows OK
CGDG: 500 rows OK
CGDV: 500 rows OK
CGGE: 459 rows OK
CGGG: 210 rows OK
CGGO: 500 rows OK
CGGR: 500 rows OK
CGHM: 459 rows OK
CGHY: 210 rows OK
Batch 4: inserted 8527 rows
CGIB: 459 rows OK
CGIC: 459 rows OK
CGIE: 500 rows OK
CGMM: 320 rows OK
CGMS: 500 rows OK
CGMU: 500 rows OK
CGNG: 459 rows OK
CGRO: 500 rows OK
CGSD: 500 rows OK
CGSM: 500 rows OK
CGUI: 459 rows OK
CGUS: 500 rows OK
CGV: 500 rows OK
CGVV: 210 rows OK
CGW: 500 rows OK
CGXU: 500 rows OK
CHAT: 500 rows OK
CHAU: 500 rows OK
CHGX: 500 rows OK
CHIQ: 500 rows OK
Batch 5: inserted 9366 rows
CHNL: 18 rows OK
CHNU: 18 rows OK
CHPS: 500 rows OK
CHPX: 143 rows OK
CHPY: 264 rows OK
CHRI: 147 rows OK
CIBR: 500 rows OK
CIFG: 93 rows OK
CIFU: 106 rows OK
CLCG: 192 rows OK
CLCV: 192 rows OK
CLIP: 500 rows OK
CLIX: 500 rows OK
CLOA: 500 rows OK
CLOB: 397 rows OK
CLOD: 499 rows OK
CLOI: 500 rows OK
CLOU: 500 rows OK
CLOX: 500 rows OK
CLOZ: 500 rows OK
Batch 6: inserted 6569 rows
CLSE: 500 rows OK
CLSM: 500 rows OK
CLSX: 154 rows OK
CLSZ: 47 rows OK
CMBO: 118 rows OK
CMBS: 500 rows OK
CMCI: 500 rows OK
CMDT: 500 rows OK
CMDY: 500 rows OK
CMF: 500 rows OK
CMGG: 110 rows OK
CNAV: 393 rows OK
CNBS: 500 rows OK
CNCG: 88 rows OK
CNEQ: 500 rows OK
CNQQ: 146 rows OK
CNRG: 500 rows OK
CNXT: 500 rows OK
CNYA: 500 rows OK
COAL: 500 rows OK
Batch 7: inserted 7556 rows
COHX: 47 rows OK
COIG: 280 rows OK
COII: 225 rows OK
COIO: 177 rows OK
COIW: 298 rows OK
COLO: 500 rows OK
COM: 500 rows OK
COMB: 500 rows OK
COMD: 52 rows OK
COMT: 500 rows OK
CONI: 412 rows OK
CONL: 500 rows OK
CONX: 108 rows OK
CONY: 500 rows OK
COPA: 398 rows OK
COPJ: 500 rows OK
COPP: 500 rows OK
COPX: 500 rows OK
COPY: 332 rows OK
CORB: 115 rows OK
Batch 8: inserted 6944 rows
CORD: 146 rows OK
CORN: 500 rows OK
CORO: 346 rows OK
CORP: 500 rows OK
COSW: 127 rows OK
COTG: 152 rows OK
COWG: 500 rows OK
COWS: 500 rows OK
COWZ: 500 rows OK
COYY: 188 rows OK
COZX: 118 rows OK
CPAG: 178 rows OK
CPAI: 500 rows OK
CPER: 500 rows OK
CPHY: 178 rows OK
CPII: 500 rows OK
CPLB: 500 rows OK
CPLS: 500 rows OK
CPNJ: 476 rows OK
CPNM: 290 rows OK
Batch 9: inserted 7199 rows
CPNQ: 350 rows OK
CPNS: 413 rows OK
CPRA: 269 rows OK
CPRJ: 457 rows OK
CPRO: 393 rows OK
CPRY: 329 rows OK
CPSA: 435 rows OK
CPSD: 350 rows OK
CPSF: 309 rows OK
CPSJ: 457 rows OK
CPSL: 409 rows OK
CPSM: 498 rows OK
CPSN: 370 rows OK
CPSO: 393 rows OK
CPSP: 269 rows OK
CPSR: 290 rows OK
CPST: 413 rows OK
CPSU: 227 rows OK
CPSY: 329 rows OK
CPXR: 317 rows OK
Batch 10: inserted 7277 rows
CQQQ: 500 rows OK
CRAK: 500 rows OK
CRBN: 500 rows OK
CRCD: 146 rows OK
CRCG: 179 rows OK
CRDD: 18 rows OK
CRDT: 500 rows OK
CRDU: 154 rows OK
CRDX: 18 rows OK
CRED: 500 rows OK
CRMG: 266 rows OK
CRMU: 53 rows OK
CRMX: 72 rows OK
CRPT: 500 rows OK
CRSH: 497 rows OK
CRTC: 500 rows OK
CRUX: 30 rows OK
CRWG: 179 rows OK
CRWL: 363 rows OK
CRWU: 189 rows OK
Batch 11: inserted 5664 rows
CSB: 500 rows OK
CSCL: 211 rows OK
CSCS: 211 rows OK
CSD: 500 rows OK
CSEX: 112 rows OK
CSHI: 500 rows OK
CSHP: 435 rows OK
CSM: 500 rows OK
CSMD: 500 rows OK
CSNR: 307 rows OK
CSPF: 307 rows OK
CSRE: 307 rows OK
CSTK: 244 rows OK
CTA: 500 rows OK
CTEC: 500 rows OK
CTEF: 215 rows OK
CTEX: 500 rows OK
CTIF: 211 rows OK
CTWO: 214 rows OK
CURE: 500 rows OK
Batch 12: inserted 7274 rows
CUSD: 500 rows OK
CUT: 500 rows OK
CVAR: 500 rows OK
CVIE: 500 rows OK
CVLC: 500 rows OK
CVMC: 500 rows OK
CVNX: 229 rows OK
CVNY: 310 rows OK
CVRD: 500 rows OK
CVRT: 500 rows OK
CVSB: 500 rows OK
CVY: 500 rows OK
CWB: 500 rows OK
CWEB: 500 rows OK
CWI: 500 rows OK
CWII: 119 rows OK
CWS: 500 rows OK
CWVX: 200 rows OK
CWY: 9 rows OK
CXRN: 295 rows OK
Batch 13: inserted 8162 rows
CXSE: 500 rows OK
CZA: 500 rows OK
CZAR: 499 rows OK
DABS: 289 rows OK
DADS: 182 rows OK
DAK: 186 rows OK
DALI: 500 rows OK
DANA: 99 rows OK
DAPP: 500 rows OK
DAPR: 500 rows OK
DARP: 500 rows OK
DAT: 500 rows OK
DAUG: 500 rows OK
DAX: 500 rows OK
DBA: 500 rows OK
DBAW: 500 rows OK
DBB: 500 rows OK
DBC: 500 rows OK
DBE: 500 rows OK
DBEF: 500 rows OK
Batch 14: inserted 8755 rows
DBEM: 500 rows OK
DBEU: 500 rows OK
DBEZ: 500 rows OK
DBJP: 500 rows OK
DBMF: 500 rows OK
DBND: 500 rows OK
DBO: 500 rows OK
DBP: 500 rows OK
DBSC: 89 rows OK
DCMT: 500 rows OK
DCOR: 500 rows OK
DCRE: 500 rows OK
DDEC: 500 rows OK
DDFA: 18 rows OK
DDFD: 100 rows OK
DDFF: 59 rows OK
DDFJ: 79 rows OK
DDFL: 207 rows OK
DDFM: 40 rows OK
DDFN: 120 rows OK
Batch 15: inserted 6712 rows
DDFO: 143 rows OK
DDFS: 164 rows OK
DDIV: 500 rows OK
DDLS: 500 rows OK
DDM: 500 rows OK
DDNQ: 79 rows OK
DDSQ: 79 rows OK
DDTA: 18 rows OK
DDTD: 100 rows OK
DDTF: 59 rows OK
DDTJ: 79 rows OK
DDTL: 207 rows OK
DDTM: 40 rows OK
DDTN: 120 rows OK
DDTO: 143 rows OK
DDTS: 164 rows OK
DDV: 112 rows OK
DDWM: 500 rows OK
DDX: 500 rows OK
DDXX: 112 rows OK
Batch 16: inserted 4119 rows
DECM: 335 rows OK
DECO: 408 rows OK
DECP: 468 rows OK
DECT: 500 rows OK
DECU: 350 rows OK
DECW: 500 rows OK
DECZ: 500 rows OK
DEED: 500 rows OK
DEEF: 500 rows OK
DEEP: 500 rows OK
DEFI: 500 rows OK
DEFR: 239 rows OK
DEHP: 500 rows OK
DEM: 500 rows OK
DEMZ: 500 rows OK
DES: 500 rows OK
DESK: 500 rows OK
DEUS: 500 rows OK
DEW: 500 rows OK
DEXC: 361 rows OK
Batch 17: inserted 9161 rows
DFAC: 500 rows OK
DFAE: 500 rows OK
DFAI: 500 rows OK
DFAR: 500 rows OK
DFAS: 500 rows OK
DFAT: 500 rows OK
DFAU: 500 rows OK
DFAW: 500 rows OK
DFAX: 500 rows OK
DFCA: 500 rows OK
DFCF: 500 rows OK
DFE: 500 rows OK
DFEB: 500 rows OK
DFEM: 500 rows OK
DFEN: 500 rows OK
DFEV: 500 rows OK
DFGP: 500 rows OK
DFGR: 500 rows OK
DFGX: 500 rows OK
DFIC: 500 rows OK
Batch 18: inserted 10000 rows
DFII: 267 rows OK
DFIP: 500 rows OK
DFIS: 500 rows OK
DFIV: 500 rows OK
DFJ: 500 rows OK
DFLV: 500 rows OK
DFNL: 500 rows OK
DFNM: 500 rows OK
DFSB: 500 rows OK
DFSD: 500 rows OK
DFSE: 500 rows OK
DFSI: 500 rows OK
DFSU: 500 rows OK
DFSV: 500 rows OK
DFUS: 500 rows OK
DFUV: 500 rows OK
DFVE: 500 rows OK
DFVX: 500 rows OK
DGAP: 5 rows OK
DGCB: 500 rows OK
Batch 19: inserted 9272 rows
DGIN: 500 rows OK
DGJA: 68 rows OK
DGLO: 180 rows OK
DGOC: 130 rows OK
DGRE: 500 rows OK
DGRO: 500 rows OK
DGRS: 500 rows OK
