Total ETFs: 1000
AGG:502 rows fetched
BND:502 rows fetched
CAFG:501 rows fetched
CAFX:409 rows fetched
CAIE:215 rows fetched
CAIQ:111 rows fetched
CALF:501 rows fetched
CALI:502 rows fetched
CAM:144 rows fetched
CAML:501 rows fetched
CAMX:501 rows fetched
CANC:501 rows fetched
CANE:501 rows fetched
CANQ:502 rows fetched
CAOS:501 rows fetched
CAPE:501 rows fetched
CARD:454 rows fetched
CARK:501 rows fetched
CARU:453 rows fetched
CARY:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
Batch 1: upserted 8804 rows
CARZ:501 rows fetched
CAS:326 rows fetched
CATF:449 rows fetched
CATH:501 rows fetched
CBLS:501 rows fetched
CBOA:269 rows fetched
CBOJ:321 rows fetched
CBOL:138 rows fetched
CBON:501 rows fetched
CBOO:143 rows fetched
CBOX:11 rows fetched
CBOY:207 rows fetched
CBSE:501 rows fetched
CBTA:269 rows fetched
CBTJ:312 rows fetched
CBTL:138 rows fetched
CBTO:143 rows fetched
CBTY:207 rows fetched
CBXA:269 rows fetched
CBXJ:312 rows fetched
Batch 2: upserted 6019 rows
CBXL:138 rows fetched
CBXO:143 rows fetched
CBXY:207 rows fetched
CCEF:502 rows fetched
CCFE:223 rows fetched
CCNR:454 rows fetched
CCOM:66 rows fetched
CCOR:501 rows fetched
CCSB:501 rows fetched
CCSO:501 rows fetched
CCUP:183 rows fetched
CDC:501 rows fetched
CDEI:501 rows fetched
CDIG:157 rows fetched
CDL:501 rows fetched
CDX:501 rows fetched
CEFA:501 rows fetched
CEFD:501 rows fetched
CEFS:501 rows fetched
CEFZ:188 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
Batch 3: upserted 7271 rows
CEGX:204 rows fetched
CEMB:502 rows fetched
CEPI:352 rows fetched
CERY:415 rows fetched
CEW:501 rows fetched
CFA:501 rows fetched
CFIT:275 rows fetched
CFO:501 rows fetched
CGBL:501 rows fetched
CGCB:501 rows fetched
CGCP:501 rows fetched
CGCV:463 rows fetched
CGDG:501 rows fetched
CGDV:501 rows fetched
CGGE:463 rows fetched
CGGG:214 rows fetched
CGGO:501 rows fetched
CGGR:501 rows fetched
CGHM:463 rows fetched
CGHY:214 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
Batch 4: upserted 8575 rows
CGIB:463 rows fetched
CGIC:463 rows fetched
CGIE:501 rows fetched
CGMM:324 rows fetched
CGMS:501 rows fetched
CGMU:501 rows fetched
CGNG:463 rows fetched
CGRO:501 rows fetched
CGSD:501 rows fetched
CGSM:501 rows fetched
CGUI:463 rows fetched
CGUS:501 rows fetched
CGV:501 rows fetched
CGVV:214 rows fetched
CGW:501 rows fetched
CGXU:501 rows fetched
CHAT:501 rows fetched
CHAU:501 rows fetched
CHGX:501 rows fetched
CHIQ:501 rows fetched
Batch 5: upserted 9404 rows
CHNL:22 rows fetched
CHNU:22 rows fetched
CHPS:501 rows fetched
CHPX:147 rows fetched
CHPY:268 rows fetched
CHRI:152 rows fetched
CIBR:501 rows fetched
CIFG:97 rows fetched
CIFU:110 rows fetched
CLCG:196 rows fetched
CLCV:196 rows fetched
CLIP:501 rows fetched
CLIX:501 rows fetched
CLOA:502 rows fetched
CLOB:401 rows fetched
CLOD:501 rows fetched
CLOI:502 rows fetched
CLOU:501 rows fetched
CLOX:501 rows fetched
CLOZ:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
Batch 6: upserted 6623 rows
CLSE:501 rows fetched
CLSM:501 rows fetched
CLSX:158 rows fetched
CLSZ:51 rows fetched
CMBO:123 rows fetched
CMBS:502 rows fetched
CMCI:501 rows fetched
CMDT:501 rows fetched
CMDY:501 rows fetched
CMF:502 rows fetched
CMGG:114 rows fetched
CNAV:397 rows fetched
CNBS:501 rows fetched
CNCG:92 rows fetched
CNEQ:501 rows fetched
CNQQ:150 rows fetched
CNRG:501 rows fetched
CNXT:501 rows fetched
CNYA:501 rows fetched
COAL:501 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
Batch 7: upserted 7600 rows
COHX:51 rows fetched
COIG:284 rows fetched
COII:229 rows fetched
COIO:181 rows fetched
COIW:302 rows fetched
COLO:501 rows fetched
COM:501 rows fetched
COMB:501 rows fetched
COMD:56 rows fetched
COMT:501 rows fetched
CONI:416 rows fetched
CONL:501 rows fetched
CONX:112 rows fetched
CONY:501 rows fetched
COPA:402 rows fetched
COPJ:501 rows fetched
COPP:501 rows fetched
COPX:501 rows fetched
COPY:336 rows fetched
CORB:119 rows fetched
Batch 8: upserted 6997 rows
CORD:150 rows fetched
CORN:501 rows fetched
CORO:350 rows fetched
CORP:502 rows fetched
COSW:131 rows fetched
COTG:156 rows fetched
COWG:501 rows fetched
COWS:501 rows fetched
COWZ:501 rows fetched
COYY:192 rows fetched
COZX:122 rows fetched
CPAG:182 rows fetched
CPAI:501 rows fetched
CPER:501 rows fetched
CPHY:182 rows fetched
CPII:502 rows fetched
CPLB:502 rows fetched
CPLS:502 rows fetched
CPNJ:480 rows fetched
CPNM:294 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
Batch 9: upserted 7253 rows
CPNQ:354 rows fetched
CPNS:417 rows fetched
CPRA:273 rows fetched
CPRJ:461 rows fetched
CPRO:397 rows fetched
CPRY:333 rows fetched
CPSA:439 rows fetched
CPSD:354 rows fetched
CPSF:313 rows fetched
CPSJ:461 rows fetched
CPSL:413 rows fetched
CPSM:501 rows fetched
CPSN:374 rows fetched
CPSO:397 rows fetched
CPSP:273 rows fetched
CPSR:294 rows fetched
CPST:417 rows fetched
CPSU:231 rows fetched
CPSY:333 rows fetched
CPXR:321 rows fetched
Batch 10: upserted 7356 rows
CQQQ:501 rows fetched
CRAK:501 rows fetched
CRBN:501 rows fetched
CRCD:150 rows fetched
CRCG:183 rows fetched
CRDD:22 rows fetched
CRDT:501 rows fetched
CRDU:158 rows fetched
CRDX:22 rows fetched
CRED:501 rows fetched
CRMG:270 rows fetched
CRMU:57 rows fetched
CRMX:76 rows fetched
CRPT:501 rows fetched
CRSH:501 rows fetched
CRTC:501 rows fetched
CRUX:34 rows fetched
CRWG:183 rows fetched
CRWL:367 rows fetched
CRWU:193 rows fetched
Batch 11: upserted 5723 rows
CSB:501 rows fetched
CSCL:215 rows fetched
CSCS:215 rows fetched
CSD:501 rows fetched
CSEX:116 rows fetched
CSHI:501 rows fetched
CSHP:439 rows fetched
CSM:501 rows fetched
CSMD:501 rows fetched
CSNR:311 rows fetched
CSPF:311 rows fetched
CSRE:311 rows fetched
CSTK:248 rows fetched
CTA:501 rows fetched
CTEC:501 rows fetched
CTEF:219 rows fetched
CTEX:501 rows fetched
CTIF:215 rows fetched
CTWO:218 rows fetched
CURE:501 rows fetched
Batch 12: upserted 7327 rows
CUSD:501 rows fetched
CUT:501 rows fetched
CVAR:501 rows fetched
CVIE:501 rows fetched
CVLC:501 rows fetched
CVMC:501 rows fetched
CVNX:233 rows fetched
CVNY:314 rows fetched
CVRD:501 rows fetched
CVRT:502 rows fetched
CVSB:501 rows fetched
CVY:501 rows fetched
CWB:502 rows fetched
CWEB:501 rows fetched
CWI:501 rows fetched
CWII:123 rows fetched
CWS:501 rows fetched
CWVX:204 rows fetched
CWY:13 rows fetched
CXRN:299 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
Batch 13: upserted 8202 rows
CXSE:501 rows fetched
CZA:501 rows fetched
CZAR:501 rows fetched
DABS:293 rows fetched
DADS:186 rows fetched
DAK:191 rows fetched
DALI:501 rows fetched
DANA:103 rows fetched
DAPP:501 rows fetched
DAPR:501 rows fetched
DARP:501 rows fetched
DAT:501 rows fetched
DAUG:501 rows fetched
DAX:501 rows fetched
DBA:501 rows fetched
DBAW:501 rows fetched
DBB:501 rows fetched
DBC:501 rows fetched
DBE:501 rows fetched
DBEF:501 rows fetched
Batch 14: upserted 8789 rows
DBEM:501 rows fetched
DBEU:501 rows fetched
DBEZ:501 rows fetched
DBJP:501 rows fetched
DBMF:501 rows fetched
DBND:502 rows fetched
DBO:501 rows fetched
DBP:501 rows fetched
DBSC:94 rows fetched
DCMT:501 rows fetched
DCOR:501 rows fetched
DCRE:502 rows fetched
DDEC:501 rows fetched
DDFA:22 rows fetched
DDFD:104 rows fetched
DDFF:63 rows fetched
DDFJ:83 rows fetched
DDFL:211 rows fetched
DDFM:44 rows fetched
DDFN:124 rows fetched
UPSERT ERR: Out of range float values are not JSON compliant
UPSERT ERR: Out of range float values are not JSON compliant
Batch 15: upserted 6759 rows
DDFO:147 rows fetched
DDFS:168 rows fetched
DDIV:501 rows fetched
DDLS:501 rows fetched
DDM:501 rows fetched
DDNQ:83 rows fetched
DDSQ:83 rows fetched
DDTA:22 rows fetched
DDTD:104 rows fetched
DDTF:63 rows fetched
DDTJ:83 rows fetched
DDTL:211 rows fetched
DDTM:44 rows fetched
DDTN:124 rows fetched
DDTO:147 rows fetched
DDTS:168 rows fetched
DDV:116 rows fetched
DDWM:501 rows fetched
DDX:501 rows fetched
DDXX:116 rows fetched
Batch 16: upserted 4184 rows
DECM:339 rows fetched
DECO:412 rows fetched
DECP:472 rows fetched
DECT:501 rows fetched
DECU:354 rows fetched
DECW:501 rows fetched
DECZ:501 rows fetched
DEED:501 rows fetched
DEEF:501 rows fetched
DEEP:501 rows fetched
DEFI:501 rows fetched
DEFR:243 rows fetched
DEHP:501 rows fetched
DEM:501 rows fetched
DEMZ:501 rows fetched
DES:501 rows fetched
