
ETF Sparkline Backfill
  Supabase: https://oqkobptbvcazifpvjwfz.supabase.co
  Period: 2y | Interval: 1d
  Batch size: 20 | Fetch delay: 0.5s

Found 1000 ETFs in foreign_etfs table

  [1/50] AGG... 502 rows ✓
  [1/50] BND... 502 rows ✓
  [1/50] CAFG... 502 rows ✓
  [1/50] CAFX... 402 rows ✓
  [1/50] CAIE... 208 rows ✓
  [1/50] CAIQ... 104 rows ✓
  [1/50] CALF... 502 rows ✓
  [1/50] CALI... 502 rows ✓
  [1/50] CAM... 137 rows ✓
  [1/50] CAML... 502 rows ✓
  [1/50] CAMX... 502 rows ✓
  [1/50] CANC... 502 rows ✓
  [1/50] CANE... 502 rows ✓
  [1/50] CANQ... 502 rows ✓
  [1/50] CAOS... 502 rows ✓
  [1/50] CAPE... 502 rows ✓
  [1/50] CARD... 447 rows ✓
  [1/50] CARK... 502 rows ✓
  [1/50] CARU... 446 rows ✓
  [1/50] CARY... 502 rows ✓
  → Inserted 8772 rows into foreign_etf_prices

  [2/50] CARZ... 502 rows ✓
  [2/50] CAS... 319 rows ✓
  [2/50] CATF... 442 rows ✓
  [2/50] CATH... 502 rows ✓
  [2/50] CBLS... 502 rows ✓
  [2/50] CBOA... 262 rows ✓
  [2/50] CBOJ... 314 rows ✓
  [2/50] CBOL... 131 rows ✓
  [2/50] CBON... 502 rows ✓
  [2/50] CBOO... 136 rows ✓
  [2/50] CBOX... 4 rows ✓
  [2/50] CBOY... 200 rows ✓
  [2/50] CBSE... 502 rows ✓
  [2/50] CBTA... 262 rows ✓
  [2/50] CBTJ... 305 rows ✓
  [2/50] CBTL... 131 rows ✓
  [2/50] CBTO... 136 rows ✓
  [2/50] CBTY... 200 rows ✓
  [2/50] CBXA... 262 rows ✓
  [2/50] CBXJ... 305 rows ✓
  → Inserted 5919 rows into foreign_etf_prices

  [3/50] CBXL... 131 rows ✓
  [3/50] CBXO... 136 rows ✓
  [3/50] CBXY... 200 rows ✓
  [3/50] CCEF... 502 rows ✓
  [3/50] CCFE... 216 rows ✓
  [3/50] CCNR... 447 rows ✓
  [3/50] CCOM... 59 rows ✓
  [3/50] CCOR... 502 rows ✓
  [3/50] CCSB... 502 rows ✓
  [3/50] CCSO... 502 rows ✓
  [3/50] CCUP... 176 rows ✓
  [3/50] CDC... 502 rows ✓
  [3/50] CDEI... 502 rows ✓
  [3/50] CDIG... 150 rows ✓
  [3/50] CDL... 502 rows ✓
  [3/50] CDX... 502 rows ✓
  [3/50] CEFA... 502 rows ✓
  [3/50] CEFD... 502 rows ✓
  [3/50] CEFS... 502 rows ✓
  [3/50] CEFZ... 181 rows ✓
  → Inserted 7218 rows into foreign_etf_prices

  [4/50] CEGX... 197 rows ✓
  [4/50] CEMB... 502 rows ✓
  [4/50] CEPI... 345 rows ✓
  [4/50] CERY... 408 rows ✓
  [4/50] CEW... 502 rows ✓
  [4/50] CFA... 502 rows ✓
  [4/50] CFIT... 268 rows ✓
  [4/50] CFO... 502 rows ✓
  [4/50] CGBL... 502 rows ✓
  [4/50] CGCB... 502 rows ✓
  [4/50] CGCP... 502 rows ✓
  [4/50] CGCV... 456 rows ✓
  [4/50] CGDG... 502 rows ✓
  [4/50] CGDV... 502 rows ✓
  [4/50] CGGE... 456 rows ✓
  [4/50] CGGG... 207 rows ✓
  [4/50] CGGO... 502 rows ✓
  [4/50] CGGR... 502 rows ✓
  [4/50] CGHM... 456 rows ✓
  [4/50] CGHY... 207 rows ✓
  → Inserted 8522 rows into foreign_etf_prices

  [5/50] CGIB... 456 rows ✓
  [5/50] CGIC... 456 rows ✓
  [5/50] CGIE... 502 rows ✓
  [5/50] CGMM... 317 rows ✓
  [5/50] CGMS... 502 rows ✓
  [5/50] CGMU... 502 rows ✓
  [5/50] CGNG... 456 rows ✓
  [5/50] CGRO... 502 rows ✓
  [5/50] CGSD... 502 rows ✓
  [5/50] CGSM... 502 rows ✓
  [5/50] CGUI... 456 rows ✓
  [5/50] CGUS... 502 rows ✓
  [5/50] CGV... 502 rows ✓
  [5/50] CGVV... 207 rows ✓
  [5/50] CGW... 502 rows ✓
  [5/50] CGXU... 502 rows ✓
  [5/50] CHAT... 502 rows ✓
  [5/50] CHAU... 502 rows ✓
  [5/50] CHGX... 502 rows ✓
  [5/50] CHIQ... 502 rows ✓
  → Inserted 9376 rows into foreign_etf_prices

  [6/50] CHNL... 15 rows ✓
  [6/50] CHNU... 15 rows ✓
  [6/50] CHPS... 502 rows ✓
  [6/50] CHPX... 140 rows ✓
  [6/50] CHPY... 261 rows ✓
  [6/50] CHRI... 144 rows ✓
  [6/50] CIBR... 502 rows ✓
  [6/50] CIFG... 90 rows ✓
  [6/50] CIFU... 103 rows ✓
  [6/50] CLCG... 189 rows ✓
  [6/50] CLCV... 189 rows ✓
  [6/50] CLIP... 502 rows ✓
  [6/50] CLIX... 502 rows ✓
  [6/50] CLOA... 502 rows ✓
  [6/50] CLOB... 394 rows ✓
  [6/50] CLOD... 501 rows ✓
  [6/50] CLOI... 502 rows ✓
  [6/50] CLOU... 502 rows ✓
  [6/50] CLOX... 502 rows ✓
  [6/50] CLOZ... 502 rows ✓
  → Inserted 6559 rows into foreign_etf_prices

  [7/50] CLSE... 502 rows ✓
  [7/50] CLSM... 502 rows ✓
  [7/50] CLSX... 151 rows ✓
  [7/50] CLSZ... 44 rows ✓
  [7/50] CMBO... 115 rows ✓
  [7/50] CMBS... 502 rows ✓
  [7/50] CMCI... 502 rows ✓
  [7/50] CMDT... 502 rows ✓
  [7/50] CMDY... 502 rows ✓
  [7/50] CMF... 502 rows ✓
  [7/50] CMGG... 107 rows ✓
  [7/50] CNAV... 390 rows ✓
  [7/50] CNBS... 502 rows ✓
  [7/50] CNCG... 85 rows ✓
  [7/50] CNEQ... 502 rows ✓
  [7/50] CNQQ... 143 rows ✓
  [7/50] CNRG... 502 rows ✓
  [7/50] CNXT... 502 rows ✓
  [7/50] CNYA... 502 rows ✓
  [7/50] COAL... 502 rows ✓
  → Inserted 7561 rows into foreign_etf_prices

  [8/50] COHX... 44 rows ✓
  [8/50] COIG... 277 rows ✓
  [8/50] COII... 222 rows ✓
  [8/50] COIO... 174 rows ✓
  [8/50] COIW... 295 rows ✓
  [8/50] COLO... 502 rows ✓
  [8/50] COM... 502 rows ✓
  [8/50] COMB... 502 rows ✓
