Total ETFs: 1000
  [1/50] AGG... 501 rows
  [1/50] BND... 501 rows
  [1/50] CAFG... 501 rows
  [1/50] CAFX... 404 rows
  [1/50] CAIE... 210 rows
  [1/50] CAIQ... 106 rows
  [1/50] CALF... 501 rows
  [1/50] CALI... 501 rows
  [1/50] CAM... 139 rows
  [1/50] CAML... 501 rows
  [1/50] CAMX... 501 rows
  [1/50] CANC... 501 rows
  [1/50] CANE... 501 rows
  [1/50] CANQ... 501 rows
  [1/50] CAOS... 501 rows
  [1/50] CAPE... 501 rows
  [1/50] CARD... 449 rows
  [1/50] CARK... 501 rows
  [1/50] CARU... 448 rows
  [1/50] CARY... 501 rows
  -> Inserted 8770 rows (1/50 batches, 25s elapsed)
  [2/50] CARZ... 501 rows
  [2/50] CAS... 321 rows
  [2/50] CATF... 444 rows
  [2/50] CATH... 501 rows
  [2/50] CBLS... 501 rows
  [2/50] CBOA... 264 rows
  [2/50] CBOJ... 316 rows
  [2/50] CBOL... 133 rows
  [2/50] CBON... 501 rows
  [2/50] CBOO... 138 rows
  [2/50] CBOX... 6 rows
  [2/50] CBOY... 202 rows
  [2/50] CBSE... 501 rows
  [2/50] CBTA... 264 rows
  [2/50] CBTJ... 307 rows
  [2/50] CBTL... 133 rows
  [2/50] CBTO... 138 rows
  [2/50] CBTY... 202 rows
  [2/50] CBXA... 264 rows
  [2/50] CBXJ... 307 rows
  -> Inserted 5944 rows (2/50 batches, 47s elapsed)
  [3/50] CBXL... 133 rows
  [3/50] CBXO... 138 rows
  [3/50] CBXY... 202 rows
  [3/50] CCEF... 501 rows
  [3/50] CCFE... 218 rows
  [3/50] CCNR... 449 rows
  [3/50] CCOM... 61 rows
  [3/50] CCOR... 501 rows
  [3/50] CCSB... 501 rows
  [3/50] CCSO... 501 rows
  [3/50] CCUP... 178 rows
  [3/50] CDC... 501 rows
  [3/50] CDEI... 501 rows
  [3/50] CDIG... 152 rows
  [3/50] CDL... 501 rows
  [3/50] CDX... 501 rows
  [3/50] CEFA... 501 rows
  [3/50] CEFD... 501 rows
  [3/50] CEFS... 502 rows
  [3/50] CEFZ... 183 rows
  INSERT ERROR for CEFS: 400 {"code":"PGRST102","details":null,"hint":null,"message":"Empty or invalid json"}
  -> Inserted 6726 rows (3/50 batches, 70s elapsed)
  [4/50] CEGX... 199 rows
  [4/50] CEMB... 501 rows
  [4/50] CEPI... 347 rows
  [4/50] CERY... 410 rows
  [4/50] CEW... 501 rows
  [4/50] CFA... 501 rows
  [4/50] CFIT... 270 rows
  [4/50] CFO... 501 rows
  [4/50] CGBL... 501 rows
  [4/50] CGCB... 501 rows
  [4/50] CGCP... 501 rows
  [4/50] CGCV... 458 rows
  [4/50] CGDG... 501 rows
  [4/50] CGDV... 501 rows
  [4/50] CGGE... 458 rows
  [4/50] CGGG... 209 rows
  [4/50] CGGO... 501 rows
  [4/50] CGGR... 501 rows
  [4/50] CGHM... 458 rows
  [4/50] CGHY... 209 rows
  INSERT ERROR for CGGE: 409 {"code":"23505","details":"Key (symbol, date)=(CGGE, 2026-03-13) already exists.","hint":null,"messa
  -> Inserted 8071 rows (4/50 batches, 93s elapsed)
  [5/50] CGIB... 458 rows
  [5/50] CGIC... 458 rows
  [5/50] CGIE... 501 rows
  [5/50] CGMM... 319 rows
  [5/50] CGMS... 501 rows
  [5/50] CGMU... 501 rows
  [5/50] CGNG... 458 rows
  [5/50] CGRO... 501 rows
  [5/50] CGSD... 501 rows
  [5/50] CGSM... 501 rows
  [5/50] CGUI... 458 rows
  [5/50] CGUS... 501 rows
  [5/50] CGV... 501 rows
  [5/50] CGVV... 209 rows
  [5/50] CGW... 501 rows
  [5/50] CGXU... 501 rows
  [5/50] CHAT... 501 rows
  [5/50] CHAU... 501 rows
  [5/50] CHGX... 501 rows
  [5/50] CHIQ... 501 rows
  -> Inserted 9374 rows (5/50 batches, 117s elapsed)
  [6/50] CHNL... 17 rows
  [6/50] CHNU... 17 rows
  [6/50] CHPS... 501 rows
  [6/50] CHPX... 142 rows
  [6/50] CHPY... 263 rows
  [6/50] CHRI... 147 rows
  [6/50] CIBR... 501 rows
  [6/50] CIFG... 92 rows
  [6/50] CIFU... 105 rows
  [6/50] CLCG... 191 rows
  [6/50] CLCV... 191 rows
  [6/50] CLIP... 501 rows
  [6/50] CLIX... 501 rows
  [6/50] CLOA... 501 rows
  [6/50] CLOB... 396 rows
  [6/50] CLOD... 501 rows
  [6/50] CLOI... 501 rows
  [6/50] CLOU... 501 rows
  [6/50] CLOX... 501 rows
  [6/50] CLOZ... 501 rows
  -> Inserted 6571 rows (6/50 batches, 139s elapsed)
  [7/50] CLSE... 501 rows
  [7/50] CLSM... 501 rows
  [7/50] CLSX... 153 rows
  [7/50] CLSZ... 46 rows
  [7/50] CMBO... 118 rows
  [7/50] CMBS... 501 rows
  [7/50] CMCI... 501 rows
  [7/50] CMDT... 501 rows
  [7/50] CMDY... 501 rows
  [7/50] CMF... 501 rows
  [7/50] CMGG... 109 rows
  [7/50] CNAV... 392 rows
  [7/50] CNBS... 501 rows
  [7/50] CNCG... 87 rows
  [7/50] CNEQ... 501 rows
  [7/50] CNQQ... 145 rows
  [7/50] CNRG... 501 rows
  [7/50] CNXT... 501 rows
  [7/50] CNYA... 501 rows
  [7/50] COAL... 501 rows
  -> Inserted 7563 rows (7/50 batches, 162s elapsed)
  [8/50] COHX... 46 rows
  [8/50] COIG... 279 rows
  [8/50] COII... 224 rows
  [8/50] COIO... 176 rows
  [8/50] COIW... 297 rows
  [8/50] COLO... 501 rows
  [8/50] COM... 501 rows
  [8/50] COMB... 501 rows
  [8/50] COMD... 51 rows
  [8/50] COMT... 501 rows
  [8/50] CONI... 411 rows
  [8/50] CONL... 501 rows
  [8/50] CONX... 107 rows
  [8/50] CONY... 501 rows
  [8/50] COPA... 397 rows
  [8/50] COPJ... 501 rows
  [8/50] COPP... 501 rows
  [8/50] COPX... 501 rows
  [8/50] COPY... 331 rows
  [8/50] CORB... 114 rows
  -> Inserted 6942 rows (8/50 batches, 185s elapsed)
  [9/50] CORD... 145 rows
  [9/50] CORN... 501 rows
  [9/50] CORO... 345 rows
  [9/50] CORP... 501 rows
  [9/50] COSW... 126 rows
  [9/50] COTG... 151 rows
  [9/50] COWG... 501 rows
  [9/50] COWS... 501 rows
  [9/50] COWZ... 501 rows
  [9/50] COYY... 187 rows
  [9/50] COZX... 117 rows
  [9/50] CPAG... 177 rows
  [9/50] CPAI... 501 rows
  [9/50] CPER... 501 rows
  [9/50] CPHY... 177 rows
  [9/50] CPII... 501 rows
  [9/50] CPLB... 501 rows
  [9/50] CPLS... 501 rows
  [9/50] CPNJ... 475 rows
  [9/50] CPNM... 289 rows
  -> Inserted 7199 rows (9/50 batches, 207s elapsed)
  [10/50] CPNQ... 349 rows
  [10/50] CPNS... 412 rows
  [10/50] CPRA... 268 rows
  [10/50] CPRJ... 456 rows
  [10/50] CPRO... 392 rows
  [10/50] CPRY... 328 rows
  [10/50] CPSA... 434 rows
  [10/50] CPSD... 349 rows
  [10/50] CPSF... 308 rows
  [10/50] CPSJ... 456 rows
  [10/50] CPSL... 408 rows
  [10/50] CPSM... 497 rows
  [10/50] CPSN... 369 rows
  [10/50] CPSO... 392 rows
  [10/50] CPSP... 268 rows
  [10/50] CPSR... 289 rows
  [10/50] CPST... 412 rows
  [10/50] CPSU... 226 rows
  [10/50] CPSY... 328 rows
  [10/50] CPXR... 316 rows
  -> Inserted 7257 rows (10/50 batches, 227s elapsed)
  [11/50] CQQQ... 501 rows
  [11/50] CRAK... 501 rows
  [11/50] CRBN... 501 rows
  [11/50] CRCD... 145 rows
  [11/50] CRCG... 178 rows
  [11/50] CRDD... 17 rows
  [11/50] CRDT... 501 rows
  [11/50] CRDU... 153 rows
  [11/50] CRDX... 17 rows
  [11/50] CRED... 501 rows
  [11/50] CRMG... 265 rows
  [11/50] CRMU... 52 rows
  [11/50] CRMX... 71 rows
  [11/50] CRPT... 501 rows
  [11/50] CRSH... 496 rows
  [11/50] CRTC... 501 rows
  [11/50] CRUX... 29 rows
  [11/50] CRWG... 178 rows
  [11/50] CRWL... 362 rows
